name,booth_number,address,website,linkedin,description,product_categories,link,summary
Interlink Electronics,"Venetian Expo, Halls A-D - 50718","15707 Rockfield Blvd, Suite #105 Irvine, CA 92618, United States",https://interlinkelectronics.com/,https://www.linkedin.com/company/interlink-electronics/,"Interlink is a world-leading provider of smart, printed sensors and complete solutions for HMI and environmental sensing serving a connected IoT world. Our portfolio of force, piezo, gas, trackpad sensors and membrane keypads, along with expertise in custom engineering solutions, makes us an ideal partner for your sensor system needs.","Digital Health, IoT/Sensors, Robotics, Smart Cities, Smart Home and Appliances",/8_0/exhibitor/exhibitor-details.cfm?exhid=0013000001KaMMGAA3,
Iontra Inc,Venetian Tower - Suite 29-216,"7025 South Fulton Street Suite 100 Centennial, CO 80112, United States",https://iontra.com/,https://www.linkedin.com/company/iontra,"Iontra is a Colorado-based battery innovation company that dramatically improves the charge speed, cycle life, capacity utilization, cold weather charging, and safety of all lithium batteries. Iontra's breakthrough solution delivers the performance that next-generation batteries are promising to deliver years from now.","AR/VR/XR, Drones, Fitness, Smart Home and Appliances, Vehicle Tech and Advanced Mobility",/8_0/exhibitor/exhibitor-details.cfm?exhid=0014V00003gv3cOQAQ,
IPlumVPN B.V.,"Venetian Expo, Hall G - 60649","Zodiakplein 44 0621922409 Den Haag, 2516CD, Netherlands",https://keepyourhomeip.com/,https://nl.linkedin.com/company/keepyourhomeip,"KeepYourHomeIP is a Dutch startup offering an innovative VPN solution that enables users to securely connect to their home network from anywhere in the world. Our hardware-based VPN routers provide a seamless, private online experience by creating an encrypted tunnel to the user's home network, no matter where you are.","Cybersecurity, Home Entertainment and Office Hardware, Smart Home and Appliances, Startups, Streaming",/8_0/exhibitor/exhibitor-details.cfm?exhid=001Pp00000e7sWMIAY,
"iRest Science and Technology Co., Ltd.","Venetian Expo, Halls A-D - 53855","No.468 Shibali East Road, Daqiao Town, Nanhu District Jiaxing, Zhejiang, 314000, China",https://www.irest.biz/,Not Available,"iRest is a brand supplier and service provider integrated with R & D , manufacturing and marketing . "" iRest "" trademark has been successfully registered in more than 100 countries and has more than 300 intellectual property rights , including 2 soft books , 12 patents for invention and 29 utility model patents .","Artificial Intelligence, Lifestyle, Smart Home and Appliances, Sourcing and Manufacturing",/8_0/exhibitor/exhibitor-details.cfm?exhid=0013A00001WK375QAD,
Iriso USA Inc.,"LVCC, North Hall - 10045","34405 W. Twelve Mile Rd. Suite 237 Farmington Hills, MI 48331, United States",https://www.irisoconnectors.com/,https://www.linkedin.com/company/irisousa/,"Iriso has been contributing to the development of the electronics industry worldwide for over 50 years since its foundation as a comprehensive connector manufacturer. Over 3000 employees support customers world wide on a wide range of products. As a leading connector manufacturer, we will continue to innovate new products to meet demands.","Audio, Gaming and Esports, IoT/Sensors, Smart Home and Appliances, Vehicle Tech and Advanced Mobility",/8_0/exhibitor/exhibitor-details.cfm?exhid=0014V00001gaCU0QAM,
IRVINEi corporation,"Venetian Expo, Hall G - 60464","1 Park Plaza, #600 Irvine, CA, 92614, USA Irvine, CA 92614, United States",https://irvinei.com/,https://www.linkedin.com/company/irvinei/,"IRVINEi is an AI and IoT Hub with Edge Computing, for Your Home and Business giving you voice control over Security and smart devices and can be put as World's first Touch Screen Doorbell on the door.","Artificial Intelligence, IoT/Sensors, Lifestyle, Smart Home and Appliances, Startups",/8_0/exhibitor/exhibitor-details.cfm?exhid=001Pp00000ctAX9IAM,
Italian Trade Agency,"LVCC, West Hall - 3374","12424 Wilshire Blvd Suite 1400 Los Angeles, CA 90025, United States",https://www.ice.it/en/markets/usa/los-angeles,https://www.linkedin.com/company/italosangeles,"ITA-Italian Trade Agency is the Governmental agency that supports the business development of Italian companies abroad and promotes the attraction of foreign investment in Italy. The agency acts to assert the excellence of Made in Italy in the world, providing information, consulting, training, and promotion to Italian startups and SMEs.","Artificial Intelligence, Digital Health, Smart Home and Appliances, Startups, Sustainability",/8_0/exhibitor/exhibitor-details.cfm?exhid=0013A00001UbH95QAF,
ITOPS Automotive Inc.,"LVCC, West Hall - 6375","88-14 Saneop-ro 156beon-gil Gwonseon-gu Suwon-si, 16648, South Korea",https://www.itops.co.kr/,Not Available,"ITOPS Automotive is driving the future of automotive intelligence. We design and manufacture cutting-edge components such as actuators, sensors, and LiDAR to enhance vehicle safety, comfort, and efficiency. From design to production, our in-house capabilities ensure optimal quality and competitiveness.","IoT/Sensors, Robotics, Smart Cities, Smart Home and Appliances, Vehicle Tech and Advanced Mobility",/8_0/exhibitor/exhibitor-details.cfm?exhid=0014V00001gbWIMQA2,
"J&D Electronics Co., Ltd.","Venetian Expo, Halls A-D - 53568","#1115 11th Floor Joongang Tower 300 Wiyre-Joongang 300 Wiryegwangjang-ro Sujeong-gu Gyeonggi-do Seongnam, 13640, South Korea",https://www.hqsensing.com/,Not Available,"J&D's Sensway® energy metering products lead in smart metering, smart grids, smart homes, and e-mobility. Widely used for distributed energy management, building automation, tenant sub-metering, and equipment monitoring, they support individuals, enterprises, and institutions in driving future networked energy solutions.","Energy Transition, Energy/Power, IoT/Sensors, Smart Cities, Smart Home and Appliances",/8_0/exhibitor/exhibitor-details.cfm?exhid=0013A00001eguy2QAA,
Jabil,"Venetian, Lvl 4 - Zeno 4606","10800 Roosevelt Blvd N Saint Petersburg, FL 33702, United States",https://www.jabil.com/,Not Available,"At Jabil, we make your most complex ideas and products a reality. We combine unmatched breadth and depth of end-market experience, technical and design capabilities, manufacturing know-how, supply chain insights and global product management expertise to enable success for the world's leading brands. We are driven by a common purpose: to","Accessories, AR/VR/XR, Robotics, Smart Home and Appliances, Sourcing and Manufacturing",/8_0/exhibitor/exhibitor-details.cfm?exhid=0013A00001W6285QAB,
Jadens (HK) Company Limited,"LVCC, South Hall 2 - 36203","7308 Self Storage Road 9192683898 Apex, NC 27523, United States",https://www.jadens.com/,Not Available,JADENS is a leading thermal printer brand dedicated to offering cost-effective printing solutions for both businesses and individuals.,"Home Entertainment and Office Hardware, Retail/E-Commerce, Smart Home and Appliances, Sourcing and Manufacturing",/8_0/exhibitor/exhibitor-details.cfm?exhid=001Pp00000XwHK7IAN,
Jasco Products Company,"Venetian, Lvl 2 - Titian 2203","10 East Memorial, Office Oklahoma City, OK 73114, United States",https://byjasco.com/,https://www.linkedin.com/company/jasco-products/mycompany/,"At Jasco, we design and develop products to simplify your life and connect your home. Jasco provides one of the most comprehensive lineups of home automation, lighting, security, home entertainment, power and mobility products.","Accessories, Home Entertainment and Office Hardware, Lifestyle, Smart Home and Appliances",/8_0/exhibitor/exhibitor-details.cfm?exhid=00130000008RpxrAAC,
Jazz Hipster Corp.,"Venetian Tower, Hospitality - Venetian Palazzo Hospitality Suites","2F, No.512, Yan -San Rd.Chung-Ho District New Taipei City, 235, Taiwan",https://www.jazzhipster.com/,https://www.linkedin.com/company/jazz-hipster-co,"Jazz Hipster was established in 1981 in Taiwan as a professional speaker manufacturer for more than 40 years. Jazz Hipster provides a wide range of ODM/OEM product lines and solutions, inclu. video/audio conference series, home theater series, speaker drivers, healthcare speakers, and customized streaming solutions on demand.","Audio, Home Entertainment and Office Hardware, Smart Home and Appliances, Sourcing and Manufacturing, Streaming",/8_0/exhibitor/exhibitor-details.cfm?exhid=0013000001KaMMzAAN,
"Jiale Health Technology shenzhen co.,ltd","LVCC, South Hall 3 - 41836","Shapu community, Songgang Street, Bao 'an SHENZHEN, GUAN 518100, China",https://jlkjk.en.alibaba.com/,Not Available,Not Available,"Digital Health, Fitness, Lifestyle, Smart Home and Appliances, Sourcing and Manufacturing",/8_0/exhibitor/exhibitor-details.cfm?exhid=001Pp00000kGqoAIAS,
"Jiande Sansen Electrical Appliance Co., Ltd.","LVCC, South Hall 1 - 32628","South Meicheng Industrial Zone, Jiande City Jiande, 311604, China",https://www.plugtul.com/,Not Available,"As a leading manufacturer of power strips and extension cords, we designs quality into the product at every stage - from our plugs with heavy duty strain reliefs to imposing rigorous testing procedures that our product must pass at every step of manufacturing.","Home Entertainment and Office Hardware, Smart Home and Appliances",/8_0/exhibitor/exhibitor-details.cfm?exhid=0013000001KYVCqAAP,
"Jiangsu Gtig Eastar co., ltd.","LVCC, South Hall 3 - 41856","23-29 Floor, New Century Plaza, Renmin Road, Zhangjiagang Jiangsu, 215600, China",http://www.gtig-eastar.com/,Not Available,"Jiangsu GTIG EASTAR Co., Ltd is a core enterprise under GITG group. Established in 1992 with a registered capital of 168.18 million RMB, the company primarily focuses on battery, charging cable, power bank, earphone, and other electronic consumer products. It attracts numerous loyal suppliers after years of cooperation with strong capital","Accessories, Energy/Power, Investing, Smart Home and Appliances, Sourcing and Manufacturing",/8_0/exhibitor/exhibitor-details.cfm?exhid=001Pp00000fJAKIIA4,
"JINNYS CO., LTD","Venetian Expo, Halls A-D - 50623","Room 403-2, 201, Sandan 7-ro, Seongmun-myeon Seongmun-myeon Dangjin-si, 3170 31702, South Korea",https://www.mediqua.co.kr/,Not Available,"JINNYS CO., LTD. is a specialized medical device manufacturer, focusing on alkaline water ionizer. The company holds GMP and ISO 13485 certifications for quality management and has received numerous accolades, including awards from the KFDA, and Startups Agency, and the Ministers of Trade and Science, among others.","Beauty Tech, Digital Health, Food Tech, Lifestyle, Smart Home and Appliances",/8_0/exhibitor/exhibitor-details.cfm?exhid=001Pp00000jtmlGIAQ,
Jionmeditech,"Venetian Expo, Halls A-D - 54359","403 Hagui-ro 250, Dongan-gu Anyang si, 14056, South Korea",https://www.dualsonic.com/,Not Available,"JIONMEDITECH is constantly passionate for skin elasticity and lifting leading the home beauty device market. With know-how of the advisory group composed of domestic and foreign researchers and university professors in the related fields, highly satisfied customer service pursuing the world's best products with the best technology.","Beauty Tech, Digital Health, Fashion Tech, Lifestyle, Smart Home and Appliances",/8_0/exhibitor/exhibitor-details.cfm?exhid=001Pp00000SszPlIAJ,
"Jizai, Inc.","Venetian Expo, Hall G - 61001","Todai-mae HiRAKU GATE, 2-3-10 Mukogaoka 2-3-10 Mukogaoka Bunkyo-ku, - 113-0023, Japan",https://jizai.ai/,https://www.linkedin.com/company/jizai-inc/,"Jizai addresses challenges such as rapid aging population, declining birthrates, and shrinking workforce through the social implementation of Generative AI and robotics technologies. We develop and provide ""Mi-Mo"", a general-purpose AI robot that thinks and acts autonomously with the goal of being helpful to humans.","Artificial Intelligence, IoT/Sensors, Robotics, Smart Home and Appliances, Startups",/8_0/exhibitor/exhibitor-details.cfm?exhid=001Pp00000lAJ4jIAG,
"Juan Intelligent Tech JSCo., Ltd.","Venetian Expo, Halls A-D - 51249","101, No. 1, Gangbian Street, Shanxi Village, Dashi Street, Dashi Town, Panyu District Guangzhou, Guangdong, 511430, China",http://www.juancctv.com/,https://www.linkedin.com/company/juancloud%E4%B9%9D%E5%AE%89%E6%99%BA%E8%83%BD,"JUAN independently design, research and develop all the current full CCTV product line in dozens, including wireless NVR Kit, standalone wireless IP camera，NVR, hybrid AHD, IP cameras, etc... In addition, JUAN has passed CE for EU, FCC for America and other authorized certification.","Smart Home and Appliances, Sourcing and Manufacturing, Video",/8_0/exhibitor/exhibitor-details.cfm?exhid=0014V00003Oum9bQAB,
"Kaga Fei Co., Ltd.","LVCC, North Hall - 10162","12F Shin-Yokohama Chuo Building Shin-Yokohama 2-100-45 Yokohama-shi, Kanagawa, 2220033, Japan",https://www.kagafei.com/jp/eng/,https://www.linkedin.com/company/kaga-fei/,KAGA FEI introduces our new wireless module (Bluetooth) and UI/UX products CANDERA to bring intelligence.,"Fitness, Home Entertainment and Office Hardware, IoT/Sensors, Robotics, Smart Home and Appliances",/8_0/exhibitor/exhibitor-details.cfm?exhid=0014V00003pQUBsQAO,
Kam Yuen Plastic Products Ltd.,"Venetian Expo, Halls A-D - 54271","No.2 Heng Feng Two Road Pu Jin Industrial Konghou Town Zhongshan City Guangdong, 528447, China",http://kyplastic.com/,Not Available,"KAM YUEN PLASTIC PRODUCTS LTD have more than 26 years of research R&D team, products have passed CE, Rohs, GS, PSE and other quality standards certification as well as got the ISO, BSCI, GSV, FCCA, SCS and other customer safety and environmental factory qualifications.","Accessories, Digital Health, Fitness, Lifestyle, Smart Home and Appliances",/8_0/exhibitor/exhibitor-details.cfm?exhid=0014V00003AzBBjQAN,
Kami Vision Inc.,"Venetian Expo, Halls A-D - 55823","2033 Gateway Place #400 San Jose, CA 95110, United States",https://kamivision.com/,https://www.linkedin.com/company/kamivision/,Kami Vision is an AI services company focused on safety and security solutions that improve the quality of life for people around the world. KamiCare is a Vision AI Fall Management solution for assisted living communities and Kami Fall Detect offers peace of mind and 24/7 emergency response for the elderly living at home.,"Artificial Intelligence, Digital Health, IoT/Sensors, Smart Home and Appliances",/8_0/exhibitor/exhibitor-details.cfm?exhid=0014V000046Q2qJQAS,
Kaon Group,"Venetian Tower, Hospitality - Venetian Palazzo Hospitality Suites","884-3, Seongnam-daero, Bundang-gu, Seongnam-si Gyeonggi-do, 13517, South Korea",https://www.kaongroup.com/,https://www.linkedin.com/company/kaongroup,"KAON is a global leader in delivering AI solutions, OTT, network devices and integration solutions to customers worldwide. KAON is committed to becoming a global platform leader by leveraging its industry-leading AI technology and network solutions to develop innovative business values in a dynamic environment.","5G Technologies, Artificial Intelligence, Home Entertainment and Office Hardware, Smart Home and Appliances, Video",/8_0/exhibitor/exhibitor-details.cfm?exhid=0014V000042FRqgQAG,
Katalyst,"LVCC, North Hall - 8352","8529 Meadowbridge Road Suite 300 Mechanicsville, VA 23116, United States",https://www.katalystbrand.com/,Not Available,"KATALYST was created to offer affordable Fixed Wireless, Wi-Fi, and connectivity products into the North American market. Enterprise quality business products at entry level pricing. Offering High performance products with unmatched service and support, allows our customers to succeed!","5G Technologies, Cybersecurity, IoT/Sensors, Smart Cities, Smart Home and Appliances",/8_0/exhibitor/exhibitor-details.cfm?exhid=001Pp00000izmrBIAQ,
"Keeson Technology Corporation, Ltd.","Venetian Expo, Halls A-D - 55323","No.158 Qiumao Road, Wangjiangjing, Xiuzhou District Jiaxing, 314001, China",https://www.ergomotion.com/,https://www.linkedin.com/showcase/ergomotion-us,"Ergomotion is the largest manufacturer of adjustable bases worldwide. The company's products are created to provide a holistic wellness solution infused with smart technology to enrich health, happiness, and well-being. They are pioneering the future of sleep while transforming bedrooms into connected wellness ecosystems.","Accessibility, Digital Health, Fitness, Smart Home and Appliances, Sports",/8_0/exhibitor/exhibitor-details.cfm?exhid=0013A00001UaKJKQA3,
Khanfilter,"Venetian Expo, Halls A-D - 50623","309-7 Techno 2-ro Yuseong-gu Daejeon, 34037, South Korea",https://khanfilter.com/en/,https://www.linkedin.com/company/76517984,"CES 2024 Innovation Awards Honoree, Khanfilter introduces a new era of clean air technology for smart eco-cities. Khanfilter's Khanpure adopts Self-Cleaning feature to regenerate filter. By this, it can not only overcome efficiency degradation due to filter contamination, but also solve massive waste & energy consumption problems.","Food Tech, Smart Cities, Smart Home and Appliances, Sourcing and Manufacturing, Sustainability",/8_0/exhibitor/exhibitor-details.cfm?exhid=001Pp000003S6lXIAS,
Kidde,"Venetian Expo, Halls A-D - 52628","1016 Corporate Park Drive Mebane, NC 27302, United States",https://www.kidde.com/home-safety/en/us/,https://www.linkedin.com/company/kidde/,"Kidde, a leading manufacturer of residential smoke alarms, carbon monoxide alarms, fire extinguishers, and safety accessories, has been keeping the world a safer place for over 100 years. Kidde produced the first integrated smoke detection system a century ago and continues its legacy today by delivering advanced fire-safety technology.",Smart Home and Appliances,/8_0/exhibitor/exhibitor-details.cfm?exhid=0013A00001TCs1WQAT,
KingSmith Fitness,"Venetian Expo, Halls A-D - 55435","Contact: David.jackman@scsources.com; Tel: +01 801-414-8690; 3333 Premier Drive Suite 100 Plano, Texas, 75023, United States",https://www.kingsmithfitness.com/,https://www.linkedin.com/company/walkingpad/,"Founded in 2015,KingSmith is the creator of the original WalkingPadTM and an intelligent home fitness pioneer.The company holds 15 patents and has won international design awards including Red Dot,IF and GOOD DESIGN.","Fitness, Home Entertainment and Office Hardware, Lifestyle, Smart Home and Appliances, Sports",/8_0/exhibitor/exhibitor-details.cfm?exhid=0013A00001a1phNQAQ,
Klydoclock,"Venetian Expo, Halls A-D - 54773","108 W. 13th street Suite 100 Klydoclock LLC, Wilmington, DE 19801, United States",https://www.klydoclock.com/,https://www.linkedin.com/company/klydo-clock/,"Klydoclock is a revolutionary timepiece that blends the elegance of traditional clocks with a dynamic collection of digital animations, updated daily. Klydoclock introduces a new type of media into people’s homes, seamlessly blending technology with art to enrich living spaces and bring a universe of creativity to your environment.","Content and EntertaInment, Home Entertainment and Office Hardware, Lifestyle, Smart Home and Appliances, Startups",/8_0/exhibitor/exhibitor-details.cfm?exhid=0014V00003waYIBQA2,
"Kneron, Inc.","LVCC, South Hall 3 - 41008","10052 Mesa Ridge Court Suite 101 San Diego, CA 92121, United States",https://www.kneron.com/,https://www.linkedin.com/company/18611732/,"Based in San Diego. Dedicate to the development of integrated edge AI hardware and software solutions for vehicle, security, and broader AIoT use cases. To empower the proliferation of accessible, low-latency, and secure AI application by creating networks of independently intelligent devices as enable through full stack Kneron solutions","Artificial Intelligence, IoT/Sensors, Robotics, Smart Home and Appliances, Video",/8_0/exhibitor/exhibitor-details.cfm?exhid=0013A00001aJRYBQA4,
Knowles,"Venetian, Lvl 3 - Toscana 3801","1151 Maplewood Drive Itasca, IL 60143, United States",https://www.knowles.com/,https://www.linkedin.com/company/knowles-electronics,"Knowles is a market leader and global provider of advanced micro-acoustic microphones and speakers, audio solutions, and high performance capacitors/RF products. Knowles’ technology is leading the Connected Audio Revolution, enabling you to deliver superior audio experiences across consumer applications, including TWS and smart devices.","Audio, Fitness, IoT/Sensors, Smart Home and Appliances",/8_0/exhibitor/exhibitor-details.cfm?exhid=0013000001KYVMRAA5,
Kodenshi Corp.,"LVCC, South Hall 3 - 40108","161, Jyuichi, Makishima-cho Uji, Kyoto, 611-0041, Japan",https://www.kodenshi.co.jp/top/en/,https://www.linkedin.com/in/atsushi-hosoi-b28992128/,"KODENSHI use sensing technology to approach people's lives and lead future technologies. As it searches for sensing technology, KODENSHI will continue to push the boundaries of the future.","Home Entertainment and Office Hardware, Imaging, IoT/Sensors, Robotics, Smart Home and Appliances",/8_0/exhibitor/exhibitor-details.cfm?exhid=0013000001KaNrMAAV,
Kolmar Korea,"Venetian Expo, Halls A-D - 54762","KOLMAR KOREA, 61, Heolleung-ro 8-gil, Seocho-gu Seoul, 06800, South Korea",https://www.kolmar.co.kr/eng/,https://www.linkedin.com/company/kolmarkorea/,"Kolmar Korea is the first ODM company to exist in the cosmetics industry in Korea. We provide total service ranging from trend suggestion, product development, manufacturing to logistics management, based on excellent technology and quality control know-how. As a supporter of brand companies, we supports K-beauty to expand into the world.","Artificial Intelligence, Beauty Tech, Digital Health, Lifestyle, Smart Home and Appliances",/8_0/exhibitor/exhibitor-details.cfm?exhid=001Pp00000LAzW2IAL,
"Kontech Electronics Co., Ltd.","Venetian Expo, Halls A-D - 51727","2nd Floor No.2 building, Detai Technology Industrial Park, Huarong Road, Longhua district Guangdong, 518109, China",https://sylvoxtv.com/,https://www.linkedin.com/company/sylvoxtv,"Sylvox is one of Kontech's brands. Sylvox aims at providing users with full-scene TVs solutions. Integrate the TV perfectly with the user's usage and the home design, give the users a premium and comfortable experience at home and outdoor, enjoy watching TV anywhere at anytime.","Lifestyle, Retail/E-Commerce, Smart Home and Appliances, Travel and Tourism, Video",/8_0/exhibitor/exhibitor-details.cfm?exhid=0013000001KaMukAAF,
KOREA Lighting Inc.,"Venetian Expo, Halls A-D - 50623","808, 139, Hogupo-ro 139, Hogupo-ro Namdong-gu, 2169 21691, South Korea",https://korealighting.kr/?param=product01&category_1_idx=15&category_2_idx=30,https://www.linkedin.com/company/vitaminled/?viewAsMember=true,"KOREA Lighting Inc., founded in 2010, specializes in LED beauty devices through VITAMIN LED, including Dual Therapy Stand and Cell-Regen LED. With unique HS FRAME technology, our devices enhance skin health with efficient, lasting LED therapy. Recognized globally, we drive sustainable beauty and wellness solutions for a brighter future.","Beauty Tech, Digital Health, Home Entertainment and Office Hardware, Lifestyle, Smart Home and Appliances",/8_0/exhibitor/exhibitor-details.cfm?exhid=001Pp00000js4mJIAQ,
Korea Semiconductor Industry Association (KSIA),"Venetian Expo, Halls A-D - 50231","10F, 182, Pangyoyeok-ro, Bundang-gu, Seongnam-si, Gyeonggi-do, 13524, South Korea",https://www.ksia.or.kr/,Not Available,"Established in 1986 the KSIA/COSAR is a cooperative network of advanced sensor, memory semiconductor, system semiconductor, materials, components, and equipments companies in Korea. In particular, we focus on helping businesses sharpen their competitive edges and achieve better outcomes in commercialization.","Digital Health, Fitness, IoT/Sensors, Smart Home and Appliances, Video",/8_0/exhibitor/exhibitor-details.cfm?exhid=0014V000036qgGvQAI,
Kwikset,"Westgate, Hospitality Suites - Westgate Hospitality Suites","19701 DaVinci Lake Forest, CA 92610, United States",https://www.kwikset.com/,https://www.linkedin.com/company/kwikset,"Kwikset is the leading residential lock manufacturer, making homeowners feel safe since 1946.The company’s unwavering commitment to meeting homeowners’ needs has inspired its innovative lock portfolio that includes SmartKey Security™ deadbolts, patented SecureScreen™ touchscreen locks, keyless entry and connected home technology locks.",Smart Home and Appliances,/8_0/exhibitor/exhibitor-details.cfm?exhid=0013000001KYVEsAAP,
L&T Technology Services Limited,"LVCC, West Hall Mtg Rms - W315","2035 Lincoln Highway Suite 3002 Edison, NJ 08817, United States",https://www.ltts.com/,https://www.linkedin.com/company/l&t-technology-services-limited,"L&T Technology Services Limited (LTTS) is a global leader in Engineering and R&D (ER&D) services. With 1,343 patents filed for 57 of the Global Top 100 ER&D spenders. LTTS’ expertise in engineering design, product development, smart manufacturing, and digitalization touches every area of human lives.","Artificial Intelligence, Cybersecurity, Smart Home and Appliances, Sustainability, Vehicle Tech and Advanced Mobility",/8_0/exhibitor/exhibitor-details.cfm?exhid=0013A00001egeywQAA,
"La Crosse Technology, Ltd.","Venetian Expo, Halls A-D - 53152","2809 Losey Blvd South La Crosse, WI 54601, United States",https://www.lacrossetechnology.com/,https://www.linkedin.com/company/lacrosse-technology-ltd?trk,"La Crosse Technology® is a privately held, multi-national company, founded in 1983 with a small-town philosophy of providing its customers with high-quality, innovative products and superior customer service. An industry leading designer and manufacturer of advanced-technology weather instruments and atomic time pieces.","Home Entertainment and Office Hardware, Lifestyle, Smart Home and Appliances",/8_0/exhibitor/exhibitor-details.cfm?exhid=0013000001KYVIIAA5,
"Ldtronix Co., Ltd.","Venetian Expo, Halls A-D - 52965","4th Floor 12 Yiwei Road, Torch Development Zone Zhongshan, GD 528400, China",http://www.ldronix.cn/,Not Available,Not Available,"AR/VR/XR, Home Entertainment and Office Hardware, Lifestyle, Robotics, Smart Home and Appliances",/8_0/exhibitor/exhibitor-details.cfm?exhid=0014V000042ElAfQAK,
LeafyPod LLC,"Venetian Expo, Hall G - 60443","PO Box 1331 Mercer Island, WA 98040, United States",https://www.leafypod.one/,Not Available,"LeafyPod aims to take the guesswork out of everyday houseplant care. Our first product, LeafyPod Planter, is a smart planter with automated watering and status monitoring capabilities. Combining cutting-edge technology and modern design, LeafyPod ensures your plants thrive with minimal effort.","AgTech, IoT/Sensors, Lifestyle, Smart Home and Appliances, Sustainability",/8_0/exhibitor/exhibitor-details.cfm?exhid=001Pp00000cRPkRIAW,
Leedarson IoT Technology Inc.,"Venetian Expo, Halls A-D - 52332","Leedarson Bldg., Xingtai Industrial Park Changtai, 363900, China",https://www.leedarson.com/,Not Available,"LEEDARSON is a high-tech corporation that specializes in the R&D and production of Internet of Things (IoT) products consisting of sensors, controls, cameras, and home appliances, along with connected and non-connected LED bulbs, fixtures, luminaires, light sources, and more.","IoT/Sensors, Retail/E-Commerce, Smart Cities, Smart Home and Appliances, Sourcing and Manufacturing",/8_0/exhibitor/exhibitor-details.cfm?exhid=0013000001LVI7dAAH,
Lepro Innovation Inc.,"Venetian Expo, Halls A-D - 52062","3651 Lindell Road Suite D1048, Las Vegas, NV,89103 . las vegas, NV 89103, United States",https://www.lepro.com/,https://www.linkedin.com/company/lighting-ever,"Lepro is a pioneer and leader in AI lighting across the globe. With over 30 million satisfied users, we continue to redefine the way people experience AI-powered home decoration.","Gaming and Esports, IoT/Sensors, Lifestyle, Retail/E-Commerce, Smart Home and Appliances",/8_0/exhibitor/exhibitor-details.cfm?exhid=0014V00003wZFrKQAW,
Lesli International Pte. Ltd,"LVCC, South Hall 1 - 30027","10 Jalan Kilang Room 03-04 Singapore, 159410, Singapore",https://lesli.sg/,Not Available,"We specialize in creating and producing cutting-edge clothes dryers. Introducing our latest innovation, the Effidry S3 – the fastest clothes dryer on the market, capable of drying a load in just 9 minutes!","Fashion Tech, Lifestyle, Retail/E-Commerce, Smart Home and Appliances, Sustainability",/8_0/exhibitor/exhibitor-details.cfm?exhid=001Pp00000PmRIsIAN,
LG Ad Solutions,"ARIA, Hospitality Suites - Aria Hospitality Suites","211 Hope Street Mountain Veiw, CA 94041, United States",https://lgads.tv/,https://www.linkedin.com/company/lgads/mycompany/,"LG Ad Solutions leads in CTV and cross-screen advertising, helping brands achieve unduplicated reach and optimal frequency across fragmented streaming landscapes. Combining LG's smart TV expertise with big TV data and Video AI, we connect brands with audiences across all screens.","Content and EntertaInment, Home Entertainment and Office Hardware, Smart Home and Appliances, Streaming, Video",/8_0/exhibitor/exhibitor-details.cfm?exhid=0014V00003AwKxcQAF,
LG Electronics,"LVCC, Central Hall - 15004","LG Twin Towers 128 Yeoui-daero Yeongdeungpo-gu Seoul, 150-721, South Korea",https://www.lg.com/us,Not Available,"LG Electronics is a global innovator in technology and consumer electronics with a presence in almost every country and an international workforce of more than 75,000. LG’s four companies – Home Appliance & Air Solution, Home Entertainment, Vehicle component Solutions and Business Solutions.","Accessibility, Home Entertainment and Office Hardware, Smart Home and Appliances, Sustainability, Vehicle Tech and Advanced Mobility",/8_0/exhibitor/exhibitor-details.cfm?exhid=00130000008Rr46AAC,
LG Electronics IT,"Encore, Hospitality Suites - Wynn Encore Hospitality Suites","128 Yeouidaero Yeongdeungpo-gu Seoul, 07336, South Korea",https://www.lg.com/global/business,Not Available,"The LG Business Solutions Company is a trusted partner offering innovative products and solutions for diverse industries worldwide. LG's IT solutions include business monitors, laptops, projectors, cloud devices, medical displays, all designed to maximize work efficiency and return strong value to customers.","Artificial Intelligence, Cloud Computing, Gaming and Esports, Home Entertainment and Office Hardware, Smart Home and Appliances",/8_0/exhibitor/exhibitor-details.cfm?exhid=0013A00001VJrziQAD,
LG NOVA Zenith Electronics LLC,"Venetian Expo, Hall G - 60511","5150 Great America Parkway Santa Clara, CA 95054, United States",https://www.lgnova.com/,https://www.linkedin.com/company/lg-nova/,"LG NOVA, the North American Innovation Center for global innovation leader LG Electronics, is a team focused on bringing innovation from the outside to LG. The center's mission is to fuel innovation for LG and its partners by establishing a community to create, nurture and grow businesses. Learn more about LG NOVA at www.lgnova.com.","Artificial Intelligence, Digital Health, Energy/Power, Smart Home and Appliances, Startups",/8_0/exhibitor/exhibitor-details.cfm?exhid=0014V00003TfyTyQAJ,
LIFE-01,"Venetian Expo, Hall G - 60711","11 rue René Camphin Fontaine, - 38600, France",https://www.life-01.com/,https://fr.linkedin.com/company/life-01,"Specially designed for your health, Element® purifies your air and guarantees the elimination of 100% of critical contaminants harmful to your well-being. You no longer breathe in pollutants present in the air. With its app, you can measure the air quality in your home in real time.","IoT/Sensors, Lifestyle, Smart Cities, Smart Home and Appliances, Startups",/8_0/exhibitor/exhibitor-details.cfm?exhid=001Pp00000gQYp5IAG,
